# Toolbag 5 Chinese dictionary
# Format: English;Chinese
Check for Updates;检查更新
Tiles;平铺
Add tiles;添加平铺
Turbulence;湍流
Add turbulence;添加湍流
Voronoi;Voronoi
Add voronoi;添加 Voronoi
Color Selection;颜色选择
Add color selection;添加颜色选择
Curvature;曲率
Add curvature;添加曲率
Direction;方向
Add direction;添加方向
Dirt;污垢
Add dirt;添加污垢
Height;高度
Add height;添加高度
Occlusion;环境光遮蔽
Add occlusion;添加环境光遮蔽
Scratch;划痕
Add scratch;添加划痕
Thickness;厚度
Add thickness;添加厚度
Center on Brush;居中到笔刷
Center the brush in the brush editor;在笔刷编辑器中居中笔刷
Decrease Brush Culling Angle;减小笔刷剔除角度
Decrease the brush cull angle in the brush editor;减小笔刷编辑器中的笔刷剔除角度
Decrease Brush Hardness;减小笔刷硬度
Decrease the brush hardness in the brush editor;减小笔刷编辑器中的笔刷硬度
Decrease Brush Size;减小笔刷大小
Decrease the brush size in the brush editor;减小笔刷编辑器中的笔刷大小
Increase Brush Culling Angle;增大笔刷剔除角度
Increase the brush cull angle in the brush editor;增大笔刷编辑器中的笔刷剔除角度
Increase Brush Hardness;增大笔刷硬度
Increase the brush hardness in the brush editor;增大笔刷编辑器中的笔刷硬度
Increase Brush Size;增大笔刷大小
Increase the brush size in the brush editor;增大笔刷编辑器中的笔刷大小
Show Decal Falloff Planes;显示贴花衰减平面
Show decal falloff planes;显示贴花衰减平面
Layer;图层
Rasterize layer;栅格化图层
Layer with Children;图层及其子图层
Rasterize layer with children;栅格化图层及其子图层
Mask;蒙版
Rasterize mask;栅格化蒙版
All;全部
Select all;全选
Invert selection;反选
Select none;取消选择
Switch Axis;切换轴
Switch axis;切换轴
Toggle Symmetry;切换对称
Toggle symmetry;切换对称
Sharpen Point;锐化点
Sharpen the selected point;锐化所选点
Smooth Point;平滑点
Smooth the selected point;平滑所选点
Toggle Point Snapping;切换点捕捉
Toggle all point snapping;切换所有点捕捉
Brush Tool;笔刷工具
Clone Stamp Tool;仿制图章工具
Decal Tool;贴花工具
Face/UV Island/Mesh Tool;面/UV 岛/网格工具
Cycle between Face/UV Island/Mesh Tool;在面/UV 岛/网格工具之间切换
Flood Fill Tool;油漆桶工具
Gradient Tool;渐变工具
Magic Wand Tool;魔棒工具
Tile Strip Tool;平铺条工具
Add Carve Group;添加雕刻组
Add carve group;添加雕刻组
Add Decal Layer;添加贴花图层
Add decal layer;添加贴花图层
Add Fill Layer;添加填充图层
Add fill layer;添加填充图层
Add Layer Mask;添加图层蒙版
Add layer mask;添加图层蒙版
Add Paint Layer;添加绘制图层
Add paint layer;添加绘制图层
Delete Layer Mask;删除图层蒙版
Delete layer mask;删除图层蒙版
Merge Selection;合并所选
Merge selected layers;合并所选图层
Next Map;下一贴图
Switch to the next map;切换到下一贴图
Previous Map;上一贴图
Switch to the previous map;切换到上一贴图
Ungroup;取消编组
Ungroup current selection;取消当前选择编组
Paint Inverse;反向绘制
Paint inverse;反向绘制
Aperture;光圈
Update the aperture of the camera;更新相机光圈
Brightness;亮度
Update the brightness of the light;更新灯光亮度
Distance;距离
Update the distance of the light;更新灯光距离
Spot Angle;聚光角度
Update the spot angle of the light;更新灯光聚光角度
Edit Pivot;编辑轴心
Edit transform pivot;编辑变换轴心
World Space;世界空间
Toggle local/world space;切换局部/世界空间
Lasso/Polygon Tool;套索/多边形工具
Cycle between Lasso/Polygon Tool;在套索/多边形工具之间切换
Rectangle/Ellipse Tool;矩形/椭圆工具
Cycle between Rectangle/Ellipse Tool;在矩形/椭圆工具之间切换
Rotate Tool;旋转工具
Scale Tool;缩放工具
Select Tool;选择工具
Transform Tool/Text Tool;变换工具/文本工具
Translate Tool;移动工具
Highlights;高光
Outline;轮廓
Default Viewport Mode;默认视口模式
Switch to the default viewport mode;切换到默认视口模式
Deselect;取消选择
Deselect current selections;取消当前选择
Enter/Exit Full Screen;进入/退出全屏
Toggle full screen mode;切换全屏模式
Frame Scene;取景场景
Frame the current viewport to the entire scene;将当前视口取景到整个场景
Frame Selection;取景所选
Frame the current viewport to the selected object;将当前视口取景到所选对象
Maximize Viewport;最大化视口
Maximize the current viewport;最大化当前视口
Next Viewport Mode;下一视口模式
Switch to the next viewport mode;切换到下一视口模式
Previous Viewport Mode;上一视口模式
Switch to the previous viewport mode;切换到上一视口模式
Show All;显示全部
Show all objects;显示所有对象
Show/Hide Guides;显示/隐藏辅助
Show or hide current viewport guides;显示或隐藏当前视口辅助
Toggle Visibility;切换可见性
Toggle visibility of the selected object;切换所选对象的可见性
Animate;动画
Classic;经典
Setup;设置
Add Workspace;添加工作区
Add new workspace based on active workspace;基于当前工作区新建工作区
Color Picker;颜色选择器
Open Color Picker window;打开颜色选择器窗口
Delete Workspace;删除工作区
Delete active workspace;删除当前工作区
History;历史记录
Toggle History window;切换历史记录窗口
Keyframes;关键帧
Toggle Keyframes window;切换关键帧窗口
Layer Settings;图层设置
Toggle Layer Settings window;切换图层设置窗口
Layers;图层
Toggle Layers window;切换图层窗口
Library;库
Open Library window;打开库窗口
Materials;材质
Toggle Materials window;切换材质窗口
Next workspace;下一工作区
Cycle to next workspace;切换到下一工作区
Previous workspace;上一工作区
Cycle to previous workspace;切换到上一工作区
Reset Default Workspace;重置默认工作区
Reset default workspace;重置默认工作区
Reset Workspace;重置工作区
Reset workspace;重置工作区
Toggle Scene window;切换场景窗口
Status Bar;状态栏
Toggle Status Bar;切换状态栏
Timeline;时间轴
Toggle Timeline window;切换时间轴窗口
Tool Settings;工具设置
Toggle Tool Settings window;切换工具设置窗口
Workspace Bar;工作区栏
Toggle Workspace Bar;切换工作区栏
Open Recent;打开最近使用
Save Scene As...;场景另存为...
Revert...;还原...
Open Scene Folder...;打开场景文件夹...
Export Selected...;导出所选...
Open Scene...;打开场景...
Set Template Material...;设置模板材质...
Clear Template Scene...;清除模板场景...
Plugins;插件
Clear Template Material...;清除模板材质...
Hotkeys...;快捷键...
Preferences...;偏好设置...
Save Selected Objects to Library...;将所选对象保存到库...
Save Scene to Library...;将场景保存到库...
Set Template Scene...;设置模板场景...
Templates;模板
Full Screen;全屏
Selection Highlights;选择高亮
Add Object;添加对象
Selection Behavior;选择行为
Show Guides;显示辅助
Duplicate Selected Layers;复制所选图层
Group Layers;图层编组
Selected Layer Color;所选图层颜色
Delete Selected Layers;删除所选图层
Layer With Children;图层及其子图层
Duplicate Selection;复制所选
Group Selection;所选编组
New Texture Project;新建纹理工程
Render Mode;渲染模式
Render Options...;渲染选项...
Duplicate Selected;复制所选
Viewport to Clipboard;视口到剪贴板
All Videos;所有视频
All Images;所有图像
Reload GUI;重新加载界面
GUI Skin...;界面皮肤...
Send Feedback...;发送反馈...
Performance...;性能...
Console...;控制台...
View Log;查看日志
Workspace;工作区
Change Account...;切换账户...
Camera %i;相机 %i
Lock Object;锁定对象
Unlock Object;解锁对象
Show Selection;显示所选
Turntable %i;转盘 %i
Bake Project %i;烘焙工程 %i
Add Baker;添加烘焙器
Fog %i;雾 %i
Texture Project %i;纹理工程 %i
Shadow Catcher %i;阴影捕捉器 %i
Backdrop %i;背景板 %i
Sky %i;天空 %i
Template Scene;模板场景
Reset Default Workspaces;重置默认工作区
Revert Scene;还原场景
Open;打开
Hide Selection;隐藏所选
re-skinning GUI to %s...;正在将界面皮肤切换为 %s...
Select a folder containing a GUI skin;选择包含界面皮肤的文件夹
shader reload completed in %.2fs;着色器重新加载完成，耗时 %.2f 秒
reloading shaders...;正在重新加载着色器...
re-skin complete;界面皮肤切换完成
Light %i;灯光 %i
This scene has unsaved changes. Do you wish to save before;当前场景有未保存的更改。是否在
Do you wish to clear the template scene? This operation cannot be undone.;是否清除模板场景？此操作无法撤销。
Revert the scene to the last saved version? Any unsaved changes will be lost.;是否将场景还原到上次保存的版本？任何未保存的更改都将丢失。
cannot write to scene file '%s';无法写入场景文件 '%s'
could not revert to file "%s";无法还原到文件 "%s"
Your system details have been copied to the clipboard.;你的系统信息已复制到剪贴板。
Would you like to open your default email client to write Marmoset an email containing this report?;是否打开默认邮件客户端，向 Marmoset 发送包含此报告的邮件？
Main Camera;主相机
Scale & Units;缩放与单位
Scale:;缩放：
Imported;导入
Use File Units;使用文件单位
Use Physical Light Units;使用物理灯光单位
Full Quality;完整质量
Lighting;灯光
Exposure;曝光
Shadows;阴影
Shadow Quality;阴影质量
High;高
Use Cascades;使用级联阴影
Cascade Distance;级联距离
Shadow Offset;阴影偏移
Ambient Occlusion;环境光遮蔽
Off;关闭
Ambient;环境
Diffuse;漫反射
Specular;高光
Occlusion Strength;遮蔽强度
Occlusion Size;遮蔽大小
Reflection;反射
Local Reflections;局部反射
Reflection Intensity;反射强度
Local Diffuse;局部漫反射
Diffuse Intensity;漫反射强度
Diffuse Distance;漫反射距离
Fog Shadow Quality;雾阴影质量
Medium;中
Ambient / Sky Illumination;环境/天空照明
Light Illumination;灯光照明
Raster;光栅
Render Cameras;渲染相机
Add New;新建
Render Passes;渲染通道
Final Composite;最终合成
Output;输出
Image;图像
Resolution:;分辨率：
Format;格式
PNG;PNG
Overwrite Existing;覆盖现有文件
Samples;采样
Transparency;透明度
Render Image;渲染图像
Open Image Location...;打开图像位置...
Video;视频
MPEG4;MPEG4
Compression Quality;压缩质量
Watermark;水印
Use Watermark;使用水印
Hide in Viewport;在视口中隐藏
Dark;深色
Two-Tone;双色
X Position;X 位置
Y Position;Y 位置
VRAM: 5%;显存：5%
VRAM: 6%;显存：6%
|   Untitled;|   未命名
Ctrl+Z;Ctrl+Z
Shift+Ctrl+Z;Shift+Ctrl+Z
Ctrl+Y;Ctrl+Y
Shift+Ctrl+Y;Shift+Ctrl+Y
Ctrl+,;Ctrl+,
Ctrl+/;Ctrl+/
Refresh;刷新
Show User Plugin Folder;显示用户插件文件夹
Show Default Plugin Folder;显示默认插件文件夹
Examples;示例
Fun;趣味
Generate Primitives;生成基本体
MPIC Convert;MPIC 转换
ChineseLocalizer;ChineseLocalizer
1.0;1.0
0.0;0.0
0.8;0.8
1.5;1.5
0.04;0.04
1920;1920
1080;1080
256;256
90;90
0.15;0.15
+;+
C:/Users/liuwenbo/Desktop;C:/Users/liuwenbo/Desktop
Duplicate Materials;复制材质
Duplicate Material (;复制材质（
Paste Material;粘贴材质
Paste Materials;粘贴材质
Apply Material;应用材质
Copy Material Settings;复制材质设置
Copy Materials;复制材质
Copy Material;复制材质
Material-Group;材质组
New Group;新建组
Group...;编组...
Paste Material Settings;粘贴材质设置
Import Material (;导入材质（
Add Material To Group;将材质添加到组
Ungrouped;未分组
Deleted Material;已删除材质
Delete Materials;删除材质
Delete Material (;删除材质（
Disband Material Group (;解散材质组（
Duplicate Material Group (;复制材质组（
Add Material;添加材质
Paste Material Group;粘贴材质组
Modify Material;修改材质
Add Material Group;添加材质组
Delete Unused Materials;删除未使用材质
Flip Y;detail;翻转 Y；细节
Create Material;创建材质
Subdivide;细分
Subdivision;细分
Sharpen Corners;锐化边角
Subdivision Level;细分级别
Geometry Reduction;几何体简化
Invisible to Camera;对相机不可见
Cull Back Faces;剔除背面
Delete Objects;删除对象
Unlock;解锁
Lock;锁定
Expand;展开
Copy Object Settings;复制对象设置
Export to Library;导出到库
Paste Object Settings;粘贴对象设置
Paste Object;粘贴对象
Paste Objects;粘贴对象
Reparent Objects;重新设置父级
Reparent;重新设置父级
Save Object(s) to Library;将对象保存到库
Export Object(s);导出对象
Frame;帧
Draw;绘制
Collapse All;全部折叠
Import...;导入...
Export...;导出...
Restore Defaults;恢复默认
Brush Texture:;笔刷纹理：
Min;最小
Jitter;抖动
Hardness;硬度
Tightness;紧密
Opacity;不透明度
Spacing;间距
Angle;角度
Squish;挤压
Warp;扭曲
Tip Contrast;笔尖对比度
Lazy Mouse;惰性鼠标
Directional;方向
Adaptive Flow;自适应流量
Symmetry;对称
X;X
Y;Y
Z;Z
Custom;自定义
Axis;轴
Count;数量
Position;位置
Rotation;旋转
Align;对齐
Fine-Tune;微调
Stencil Texture:;模板纹理：
Fade;淡出
Contrast;对比度
Stencil Display;模板显示
Wrap;环绕
Hide When Painting;绘制时隐藏
Tiling;平铺
U;U
Offset U;U 偏移
Offset V;V 偏移
Reset Transforms;重置变换
Backface Culling;背面剔除
Backface Falloff;背面衰减
UV;UV
Tangent;切线
Tangent-Wrap;切线环绕
Sticker;贴纸
Screen;屏幕
Tube;管状
Alignment;对齐
Object;对象
Size Space;大小空间
Contiguous Mesh Only;仅连续网格
Distortion Compensation;畸变补偿
Use Normal Map for Culling;使用法线贴图进行剔除
Current Layer;当前图层
All Layers;所有图层
Select From:;选择来源：
Reset Position;重置位置
Smudge Distance;涂抹距离
All Meshes;所有网格
Contiguous Mesh;连续网格
UV Island;UV 岛
Smudge Over:;涂抹覆盖：
File reference(s) could not be found.;找不到文件引用。
Download All;全部下载
Search in Folder;在文件夹中搜索
Continue;继续
Bake;烘焙
Adjust Render Settings;调整渲染设置
Adjusting Project Maps;调整工程贴图
Arguments and Environment;参数与环境
Baking;烘焙
Batch Rendering;批量渲染
Camera Object;相机对象
Console Logging;控制台日志
Creating Materials from Images;从图像创建材质
Creating UIs;创建界面
Editing Layer Parameters;编辑图层参数
Editing Library;编辑库
Editing Materials;编辑材质
Gemstone;宝石
Group Parents;组父级
Input and Output Maps;输入与输出贴图
Interacting with Layers;图层交互
Set Keyframes;设置关键帧
Strange Attractors;奇异吸引子
Switch Scenes;切换场景
Texture Project Settings;纹理工程设置
Transforming Objects;变换对象
Using pip;使用 pip
Wireframe;线框
Geometry;几何体
IDs;ID
Material Values;材质值
JPEG;JPEG
TGA;TGA
PSD;PSD
PSD (16-bit);PSD（16 位）
EXR (16-bit);EXR（16 位）
EXR (32-bit);EXR（32 位）
AVI Lossless;AVI 无损
Render Video;渲染视频
Open Video Location...;打开视频位置...
Ray Traced;光线追踪
Low;低
Mega;极高
Restore Undo State;恢复撤销状态
Viewport;视口
Draft Quality;草稿质量
Gray;灰度
Untextured;无纹理
Albedo;反照率
Alpha Mask;Alpha 蒙版
Depth;深度
Diffuse (Complete);漫反射（完整）
Diffuse (Direct);漫反射（直接）
Diffuse (Indirect);漫反射（间接）
Displacement;置换
Emissive;自发光
Gloss;光泽
Incidence;入射
Lighting (Direct);光照（直接）
Lighting (Indirect);光照（间接）
Material ID;材质 ID
Metalness;金属度
Normals;法线
Object ID;对象 ID
Reflectivity;反射率
Roughness;粗糙度
Specular (Complete);高光（完整）
Specular (Direct);高光（直接）
Specular (Indirect);高光（间接）
Console;控制台
Add Texture Project;添加纹理工程
VRAM: 3%;显存：3%
Cameras;相机
Canvas;画布
Perspective;透视
Top;顶
Bottom;底
Left;左
Right;右
Front;前
Back;后
Hide/Show Selection;隐藏/显示所选
Ctrl+N;Ctrl+N
Ctrl+O;Ctrl+O
Ctrl+S;Ctrl+S
Shift+Ctrl+S;Shift+Ctrl+S
Ctrl+9;Ctrl+9
Ctrl+I;Ctrl+I
Ctrl+E;Ctrl+E
Shift+Ctrl+E;Shift+Ctrl+E
Ctrl+Q;Ctrl+Q
Shift+Ctrl+H;Shift+Ctrl+H
Shift+Ctrl+D;Shift+Ctrl+D
Ctrl+F;Ctrl+F
Shift+Ctrl+F;Shift+Ctrl+F
Shift+Space;Shift+Space
Ctrl+U;Ctrl+U
Ctrl+Enter;Ctrl+Enter
Shift+L;Shift+L
.;.
,;,
M;M
Latitude;纬度
Longitude;经度
Time of Day;时间（一天中的时刻）
Day of Year;日期（一年中的第几天）
Tint;色调
Haze;雾霾
White Balance;白平衡
Location;位置
Guess Time Zone;猜测时区
Source:;来源：
Procedural;程序化
Time Zone:;时区：
Month;月份
Include Sun;包含太阳
Random Width;随机宽度
Random Width Frequency;随机宽度频率
Outside;外侧
Centered ;居中 
Inside;内侧
Rounding;圆角
Taper;锥度
Warp Frequency;扭曲频率
Delete Preset;删除预设
Save Preset...;保存预设...
Profile Amount;轮廓数量
Front Taper;前锥度
Back Taper;后锥度
From Texture Project;来自纹理工程
Change Texture;更改纹理
Paste Texture;粘贴纹理
Show File;显示文件
Text Direction;文本方向
Spline;样条线
Create;创建
Line;直线
Scribble;涂鸦
Round Corner;圆角
Rect Select;矩形选择
Mold;塑形
Handles;手柄
Measure;测量
Enable Snapping;启用捕捉
Lines;线条
Snapping;捕捉
Set Point Radius;设置点半径
Mold Spline;塑形样条线
Add Spline Handle;添加样条线手柄
Move Spline Points;移动样条线点
Symmetry Plane;对称平面
Add Spline Shape;添加样条线形状
Finish Spline Shape;完成样条线形状
Rotate Spline Shape;旋转样条线形状
Scale Spline Shape;缩放样条线形状
Move Spline Shape;移动样条线形状
Plane Transform;平面变换
Transform Spline Plane;变换样条线平面
Modify Pivot;修改轴心
Enable Selection;启用选择
Translation Snapping;移动捕捉
Translate:;移动：
Rotate:;旋转：
Center Pivot;居中轴心
Camera Target;相机目标
Pivot;轴心
Behavior;行为
Independent Center;独立中心
Always On;始终开启
Move;移动
Zoom;缩放
Frame Camera;取景相机
Set Camera Focus;设置相机焦点
Independent Scale;独立缩放
VP Render;视口渲染
VP Present;视口显示
High DPI;高 DPI
Anti-aliasing;抗锯齿
Show Scale Reference;显示比例参考
On (Nvidia DLSS);开启（Nvidia DLSS）
Auto (Nvidia DLSS);自动（Nvidia DLSS）
Compiling Shaders...;正在编译着色器...
Rotate Sky;旋转天空
Sky Time;天空时间
Sky Time of Day;天空时间（一天中的时刻）
Rotate;旋转
Pan;平移
Line Spacing;行距
Kerning;字距
Relative Scale;相对缩放
Generate Z;生成 Z
Flip Z;detail;翻转 Z；细节
Bevel Angle;倒角角度
Detail Weight Map;细节权重贴图
Detail Tiling;细节平铺
Detail Weight;细节权重
Minimum;最小
Exponent;指数
Smoothness;平滑度
Bevel Hard Edges;倒角硬边
Bevel Same Surface Only;仅同一表面倒角
Sheen Tint;光泽色调
Use Translucency;使用半透明
Horizon Smoothing;地平线平滑
Distortion Limit;畸变限制
Software Update Available;有可用软件更新
Marmoset Toolbag News;Marmoset Toolbag 新闻
Release Notes;发布说明
clearing traceable scene...;正在清除可追踪场景...
Possible UDIM changes due to reparenting;重新设置父级可能导致 UDIM 变化
Mesh VRAM: %.2f MB;网格显存：%.2f MB
Mesh VRAM RT: %.2fMB;网格显存 RT：%.2fMB
Frame Time;帧时间
Marmoset Library Folder;Marmoset 库文件夹
User Library Folder;用户库文件夹
Marmoset Auto Save Folder;Marmoset 自动保存文件夹
Reading Scene Objects;正在读取场景对象
SceneObject created;场景对象已创建
SceneObject destroyed;场景对象已销毁
Project?;项目？
 Objects; 对象

# --- Static scan: official Toolbag help text (machine draft) ---
Raster rendering - high performance, worst visual quality.;光栅渲染——高性能，视觉质量最差。
Hybrid rendering - smooth interaction, good visual quality.;混合渲染——交互流畅，视觉质量良好。
Ray Traced rendering - most accurate, best visual quality.;光线追踪渲染——最精确，视觉质量最佳。
Select;选择
Transform;变形
Translate;平移
Scale;缩放
Paint Offset;绘制偏移
Paint Skew;绘制扭曲
Camera Limits;相机限制
Image Comparison;图像比较
Brush;笔刷
Erase;擦除
Clone;克隆
Smudge;涂抹
Rectangle Select;矩形选择
Ellipse Select;椭圆选择
Flood Fill;填满
Wand Select;魔棒选择
Lasso Select;套索选择
Polygon Select;多边形选择
Face Select;面部选择
